Frame         Time          Elec          VdW           Nonbond       Total         
353           353           -4117.54      -630.478      -4748.02      -4748.02      
354           354           -4142         -610.462      -4752.46      -4752.46      
355           355           -4054.01      -603.94       -4657.95      -4657.95      
356           356           -4016.95      -580.852      -4597.81      -4597.81      
357           357           -4143.86      -613.582      -4757.44      -4757.44      
358           358           -4103.12      -629.382      -4732.5       -4732.5       
359           359           -4091.38      -605.37       -4696.75      -4696.75      
360           360           -3880.05      -609.38       -4489.43      -4489.43      
361           361           -3989.01      -602.652      -4591.66      -4591.66      
362           362           -3900.86      -646.633      -4547.49      -4547.49      
363           363           -4031.75      -636.312      -4668.06      -4668.06      
364           364           -4228.52      -598.486      -4827.01      -4827.01      
365           365           -4034.1       -601.038      -4635.14      -4635.14      
366           366           -4101.31      -566.543      -4667.85      -4667.85      
367           367           -4117.57      -614.696      -4732.27      -4732.27      
368           368           -4101.69      -633.76       -4735.45      -4735.45      
369           369           -4172.31      -647.9        -4820.21      -4820.21      
370           370           -4087.05      -648.537      -4735.59      -4735.59      
371           371           -4063.23      -638.064      -4701.29      -4701.29      
372           372           -4109.02      -644.594      -4753.61      -4753.61      
373           373           -4172.46      -586.216      -4758.68      -4758.68      
374           374           -4197.96      -630.49       -4828.45      -4828.45      
375           375           -4199.76      -623.549      -4823.31      -4823.31      
376           376           -4220.55      -652.034      -4872.59      -4872.59      
377           377           -4288.2       -653.513      -4941.71      -4941.71      
378           378           -4230.35      -689.307      -4919.66      -4919.66      
379           379           -4274.78      -641.526      -4916.31      -4916.31      
380           380           -4258.24      -678.556      -4936.79      -4936.79      
381           381           -4218.58      -656.573      -4875.15      -4875.15      
382           382           -4353.84      -626.751      -4980.59      -4980.59      
383           383           -4276.43      -563.06       -4839.49      -4839.49      
384           384           -4280.01      -612.206      -4892.22      -4892.22      
385           385           -4262.87      -642.451      -4905.32      -4905.32      
386           386           -4389.26      -606.904      -4996.17      -4996.17      
387           387           -4194.62      -661.471      -4856.09      -4856.09      
388           388           -4269.77      -653.401      -4923.17      -4923.17      
389           389           -4202.17      -612.517      -4814.69      -4814.69      
390           390           -4232.05      -629.522      -4861.58      -4861.58      
391           391           -4255.4       -650.226      -4905.63      -4905.63      
392           392           -4353.4       -616.386      -4969.78      -4969.78      
393           393           -4277.74      -593.13       -4870.87      -4870.87      
394           394           -4209.2       -609.747      -4818.95      -4818.95      
395           395           -4259.42      -625.26       -4884.68      -4884.68      
396           396           -4202.67      -647.592      -4850.27      -4850.27      
397           397           -4132.36      -585.288      -4717.65      -4717.65      
398           398           -4270.99      -638.852      -4909.84      -4909.84      
399           399           -4227         -621.067      -4848.07      -4848.07      
400           400           -4212.52      -652.672      -4865.19      -4865.19      
401           401           -4108.79      -644.397      -4753.19      -4753.19      
402           402           -4212.22      -664.066      -4876.28      -4876.28      
403           403           -4166.58      -633.521      -4800.1       -4800.1       
404           404           -4117.7       -624.432      -4742.13      -4742.13      
405           405           -4145.89      -642.673      -4788.56      -4788.56      
406           406           -4096.21      -644.081      -4740.29      -4740.29      
407           407           -4123.07      -648.271      -4771.34      -4771.34      
408           408           -4099.98      -667.76       -4767.74      -4767.74      
409           409           -3970.76      -650.015      -4620.77      -4620.77      
410           410           -4114.01      -692.931      -4806.94      -4806.94      
411           411           -4191.12      -658.358      -4849.48      -4849.48      
412           412           -4150.23      -632.794      -4783.03      -4783.03      
413           413           -4117.48      -658.352      -4775.83      -4775.83      
414           414           -4058.22      -654.823      -4713.05      -4713.05      
415           415           -4073.45      -645.722      -4719.18      -4719.18      
416           416           -3993.8       -656.232      -4650.03      -4650.03      
417           417           -4004.75      -637.639      -4642.39      -4642.39      
418           418           -4070.24      -679.579      -4749.82      -4749.82      
419           419           -3881.97      -665.149      -4547.12      -4547.12      
420           420           -3990.34      -655.678      -4646.02      -4646.02      
421           421           -3965.71      -637.975      -4603.69      -4603.69      
422           422           -3921.47      -678.184      -4599.65      -4599.65      
423           423           -3952.4       -674.111      -4626.52      -4626.52      
424           424           -4159.46      -590.879      -4750.34      -4750.34      
425           425           -4029.88      -635.774      -4665.65      -4665.65      
426           426           -4139.07      -657.875      -4796.95      -4796.95      
427           427           -4048.67      -645.496      -4694.17      -4694.17      
428           428           -4089.23      -625.694      -4714.93      -4714.93      
429           429           -4050.26      -645.473      -4695.73      -4695.73      
430           430           -4004.58      -649.678      -4654.26      -4654.26      
431           431           -3907.3       -661.803      -4569.11      -4569.11      
432           432           -4064.53      -638.566      -4703.09      -4703.09      
433           433           -4007.41      -669.009      -4676.42      -4676.42      
434           434           -4038.36      -650.553      -4688.92      -4688.92      
435           435           -4233.14      -634.717      -4867.85      -4867.85      
436           436           -4264.08      -621.091      -4885.17      -4885.17      
437           437           -4173.39      -646.955      -4820.35      -4820.35      
438           438           -4084.67      -670.907      -4755.57      -4755.57      
439           439           -4144.9       -650.57       -4795.47      -4795.47      
440           440           -4089.19      -626.141      -4715.33      -4715.33      
441           441           -4225.16      -620.982      -4846.14      -4846.14      
442           442           -4255.13      -579.853      -4834.98      -4834.98      
443           443           -4237.95      -668.629      -4906.58      -4906.58      
444           444           -4035.44      -638.844      -4674.29      -4674.29      
445           445           -4221.55      -648.581      -4870.13      -4870.13      
446           446           -4270.62      -679.623      -4950.25      -4950.25      
447           447           -4293.81      -664.387      -4958.2       -4958.2       
448           448           -4268.51      -633.77       -4902.28      -4902.28      
449           449           -3960.59      -649.892      -4610.48      -4610.48      
450           450           -4034.49      -630.765      -4665.26      -4665.26      
451           451           -4144.24      -631.555      -4775.79      -4775.79      
452           452           -4160.25      -651.746      -4811.99      -4811.99      
453           453           -4026.6       -641.584      -4668.18      -4668.18      
454           454           -3842.6       -670.542      -4513.14      -4513.14      
455           455           -4006.91      -669.887      -4676.8       -4676.8       
456           456           -4033.85      -647.656      -4681.51      -4681.51      
457           457           -4119.51      -666.068      -4785.58      -4785.58      
458           458           -4012.28      -657.139      -4669.42      -4669.42      
459           459           -4055.61      -664.72       -4720.33      -4720.33      
460           460           -3986.96      -665.464      -4652.42      -4652.42      
461           461           -4052.43      -654.971      -4707.41      -4707.41      
462           462           -3818.08      -610.601      -4428.68      -4428.68      
463           463           -4008.88      -639.788      -4648.67      -4648.67      
464           464           -3942.15      -643.059      -4585.21      -4585.21      
465           465           -4089.18      -652.87       -4742.05      -4742.05      
466           466           -3973.51      -666.703      -4640.21      -4640.21      
