FRAME,TYPE,RMSD
795,Protein,12.397726058959961
796,Protein,12.353306770324707
797,Protein,12.341609001159668
798,Protein,11.896778106689453
799,Protein,11.260807037353516
800,Protein,11.371514320373535
801,Protein,11.53863525390625
802,Protein,11.571609497070313
803,Protein,11.450010299682617
804,Protein,11.863324165344238
805,Protein,11.81041145324707
806,Protein,12.041397094726563
807,Protein,12.422070503234863
808,Protein,12.292621612548828
809,Protein,12.594385147094727
810,Protein,12.694438934326172
811,Protein,12.202009201049805
812,Protein,11.65320110321045
813,Protein,11.474014282226563
814,Protein,11.608719825744629
815,Protein,11.78165054321289
816,Protein,11.624604225158691
817,Protein,11.936173439025879
818,Protein,12.478659629821777
819,Protein,12.221680641174316
820,Protein,12.129161834716797
821,Protein,11.945283889770508
822,Protein,11.946508407592773
823,Protein,12.708534240722656
824,Protein,12.853206634521484
825,Protein,12.973435401916504
826,Protein,12.835227966308594
827,Protein,13.69265079498291
828,Protein,14.168476104736328
829,Protein,14.280471801757813
830,Protein,14.488733291625977
831,Protein,14.411453247070313
832,Protein,13.888068199157715
833,Protein,13.593199729919434
834,Protein,12.740029335021973
835,Protein,12.324138641357422
836,Protein,12.349916458129883
837,Protein,12.712746620178223
838,Protein,11.999966621398926
839,Protein,12.252771377563477
840,Protein,12.260269165039063
841,Protein,12.587148666381836
842,Protein,12.607400894165039
843,Protein,12.427553176879883
844,Protein,12.312847137451172
845,Protein,12.031508445739746
846,Protein,12.014481544494629
847,Protein,12.05208683013916
848,Protein,12.29660415649414
849,Protein,12.622705459594727
850,Protein,12.63008975982666
851,Protein,12.763322830200195
852,Protein,12.843782424926758
853,Protein,12.881989479064941
854,Protein,13.002094268798828
855,Protein,13.416974067687988
856,Protein,13.50635814666748
857,Protein,13.320319175720215
858,Protein,13.498847007751465
859,Protein,13.275506019592285
860,Protein,12.972444534301758
861,Protein,12.810667991638184
862,Protein,13.010497093200684
863,Protein,13.158368110656738
864,Protein,12.938118934631348
865,Protein,12.593770027160645
866,Protein,12.641074180603027
867,Protein,13.036720275878906
868,Protein,12.871011734008789
869,Protein,13.211170196533203
870,Protein,13.588722229003906
871,Protein,13.281251907348633
872,Protein,13.409126281738281
873,Protein,12.838193893432617
874,Protein,13.06973648071289
875,Protein,13.30389404296875
876,Protein,13.388364791870117
877,Protein,13.519609451293945
878,Protein,13.607973098754883
879,Protein,13.56567096710205
880,Protein,13.392252922058105
881,Protein,13.14201545715332
882,Protein,13.711010932922363
883,Protein,13.619194030761719
884,Protein,13.617646217346191
885,Protein,13.63968563079834
886,Protein,13.576177597045898
887,Protein,13.649895668029785
888,Protein,13.875191688537598
889,Protein,13.634725570678711
890,Protein,14.09131908416748
891,Protein,13.621627807617188
892,Protein,13.48375415802002
893,Protein,13.742816925048828
894,Protein,13.521675109863281
895,Protein,13.511817932128906
896,Protein,13.817761421203613
897,Protein,13.639045715332031
898,Protein,12.907885551452637
899,Protein,12.9063138961792
900,Protein,13.14441204071045
901,Protein,13.009991645812988
902,Protein,13.181458473205566
903,Protein,13.434179306030273
904,Protein,13.447165489196777
905,Protein,13.921154022216797
906,Protein,13.430574417114258
907,Protein,13.516289710998535
908,Protein,13.961386680603027
909,Protein,13.490692138671875
910,Protein,13.42604923248291
911,Protein,13.313416481018066
912,Protein,13.611164093017578
913,Protein,13.595206260681152
914,Protein,13.621174812316895
915,Protein,13.911805152893066
916,Protein,13.643280982971191
917,Protein,13.414778709411621
918,Protein,14.15422534942627
919,Protein,13.888975143432617
920,Protein,13.999612808227539
921,Protein,14.250905990600586
922,Protein,14.404281616210938
923,Protein,14.07544994354248
924,Protein,13.89776611328125
925,Protein,13.299777030944824
926,Protein,13.62738037109375
927,Protein,13.346914291381836
928,Protein,13.413987159729004
929,Protein,13.645188331604004
930,Protein,13.67056941986084
931,Protein,13.650723457336426
932,Protein,13.87624454498291
933,Protein,13.334481239318848
934,Protein,13.131789207458496
935,Protein,13.013547897338867
936,Protein,12.900328636169434
937,Protein,13.100332260131836
938,Protein,13.100333213806152
