"FRAME","SYSTEM","HBONDS"
498,"HBONDS",0
499,"HBONDS",0
500,"HBONDS",0
501,"HBONDS",0
502,"HBONDS",0
503,"HBONDS",0
504,"HBONDS",0
505,"HBONDS",0
506,"HBONDS",0
507,"HBONDS",0
508,"HBONDS",0
509,"HBONDS",0
510,"HBONDS",0
511,"HBONDS",0
512,"HBONDS",0
513,"HBONDS",0
514,"HBONDS",0
515,"HBONDS",0
516,"HBONDS",0
517,"HBONDS",0
518,"HBONDS",0
519,"HBONDS",0
520,"HBONDS",0
521,"HBONDS",1
522,"HBONDS",0
523,"HBONDS",0
524,"HBONDS",0
525,"HBONDS",1
526,"HBONDS",0
527,"HBONDS",1
528,"HBONDS",0
529,"HBONDS",0
530,"HBONDS",0
531,"HBONDS",0
532,"HBONDS",0
533,"HBONDS",0
534,"HBONDS",0
535,"HBONDS",0
536,"HBONDS",1
537,"HBONDS",0
538,"HBONDS",1
539,"HBONDS",1
540,"HBONDS",0
541,"HBONDS",0
542,"HBONDS",1
543,"HBONDS",0
544,"HBONDS",0
545,"HBONDS",0
546,"HBONDS",0
547,"HBONDS",0
548,"HBONDS",1
549,"HBONDS",0
550,"HBONDS",0
551,"HBONDS",0
552,"HBONDS",1
553,"HBONDS",0
554,"HBONDS",0
555,"HBONDS",0
556,"HBONDS",0
557,"HBONDS",0
558,"HBONDS",0
559,"HBONDS",0
560,"HBONDS",0
561,"HBONDS",0
562,"HBONDS",0
563,"HBONDS",1
564,"HBONDS",0
565,"HBONDS",0
566,"HBONDS",0
567,"HBONDS",0
568,"HBONDS",0
569,"HBONDS",1
570,"HBONDS",0
571,"HBONDS",0
572,"HBONDS",0
573,"HBONDS",0
574,"HBONDS",0
575,"HBONDS",0
576,"HBONDS",0
577,"HBONDS",0
578,"HBONDS",0
579,"HBONDS",0
580,"HBONDS",0
581,"HBONDS",0
582,"HBONDS",0
583,"HBONDS",0
584,"HBONDS",0
585,"HBONDS",0
586,"HBONDS",0
587,"HBONDS",0
588,"HBONDS",0
589,"HBONDS",0
590,"HBONDS",0
591,"HBONDS",1
592,"HBONDS",0
593,"HBONDS",0
594,"HBONDS",0
595,"HBONDS",0
596,"HBONDS",0
597,"HBONDS",0
598,"HBONDS",0
599,"HBONDS",0
600,"HBONDS",0
601,"HBONDS",0
602,"HBONDS",0
603,"HBONDS",1
604,"HBONDS",0
605,"HBONDS",0
606,"HBONDS",0
607,"HBONDS",0
608,"HBONDS",0
609,"HBONDS",1
610,"HBONDS",0
611,"HBONDS",0
612,"HBONDS",1
613,"HBONDS",1
614,"HBONDS",1
615,"HBONDS",1
616,"HBONDS",2
617,"HBONDS",1
618,"HBONDS",0
619,"HBONDS",0
620,"HBONDS",0
621,"HBONDS",1
622,"HBONDS",0
623,"HBONDS",2
624,"HBONDS",0
625,"HBONDS",0
626,"HBONDS",0
627,"HBONDS",0
628,"HBONDS",1
629,"HBONDS",0
630,"HBONDS",2
631,"HBONDS",1
632,"HBONDS",1
633,"HBONDS",1
634,"HBONDS",0
635,"HBONDS",0
636,"HBONDS",0
637,"HBONDS",1
638,"HBONDS",0
639,"HBONDS",0
640,"HBONDS",0
641,"HBONDS",1
642,"HBONDS",1
643,"HBONDS",1
644,"HBONDS",0
645,"HBONDS",0
646,"HBONDS",0
647,"HBONDS",0
648,"HBONDS",2
649,"HBONDS",0
650,"HBONDS",0
651,"HBONDS",0
652,"HBONDS",1
653,"HBONDS",1
654,"HBONDS",0
655,"HBONDS",0
656,"HBONDS",0
657,"HBONDS",0
658,"HBONDS",1
659,"HBONDS",0
660,"HBONDS",0
661,"HBONDS",1
662,"HBONDS",0
663,"HBONDS",0
664,"HBONDS",0
665,"HBONDS",0
666,"HBONDS",0
667,"HBONDS",0
668,"HBONDS",2
669,"HBONDS",1
670,"HBONDS",2
671,"HBONDS",0
672,"HBONDS",0
673,"HBONDS",0
674,"HBONDS",0
675,"HBONDS",0
676,"HBONDS",0
677,"HBONDS",0
678,"HBONDS",0
679,"HBONDS",0
680,"HBONDS",1
681,"HBONDS",0
682,"HBONDS",0
683,"HBONDS",0
684,"HBONDS",1
685,"HBONDS",0
686,"HBONDS",0
687,"HBONDS",0
688,"HBONDS",0
689,"HBONDS",0
690,"HBONDS",0
691,"HBONDS",0
692,"HBONDS",0
693,"HBONDS",0
694,"HBONDS",1
695,"HBONDS",0
696,"HBONDS",0
697,"HBONDS",0
698,"HBONDS",0
699,"HBONDS",0
700,"HBONDS",0
701,"HBONDS",0
702,"HBONDS",0
703,"HBONDS",0
704,"HBONDS",0
705,"HBONDS",0
706,"HBONDS",0
707,"HBONDS",0
708,"HBONDS",1
709,"HBONDS",0
710,"HBONDS",0
711,"HBONDS",0
712,"HBONDS",0
713,"HBONDS",0
714,"HBONDS",0
715,"HBONDS",2
716,"HBONDS",1
717,"HBONDS",1
718,"HBONDS",1
719,"HBONDS",0
720,"HBONDS",0
721,"HBONDS",1
722,"HBONDS",1
723,"HBONDS",0
724,"HBONDS",1
725,"HBONDS",1
726,"HBONDS",0
727,"HBONDS",1
728,"HBONDS",0
729,"HBONDS",0
730,"HBONDS",0
731,"HBONDS",0
732,"HBONDS",0
733,"HBONDS",2
734,"HBONDS",1
735,"HBONDS",1
736,"HBONDS",2
737,"HBONDS",0
738,"HBONDS",2
739,"HBONDS",0
740,"HBONDS",0
741,"HBONDS",1
742,"HBONDS",0
743,"HBONDS",0
744,"HBONDS",0
745,"HBONDS",2
746,"HBONDS",1
747,"HBONDS",0
748,"HBONDS",0
749,"HBONDS",0
750,"HBONDS",1
751,"HBONDS",0
752,"HBONDS",1
753,"HBONDS",1
754,"HBONDS",0
755,"HBONDS",2
756,"HBONDS",2
757,"HBONDS",2
758,"HBONDS",1
759,"HBONDS",0
760,"HBONDS",0
761,"HBONDS",2
762,"HBONDS",1
763,"HBONDS",0
764,"HBONDS",1
765,"HBONDS",0
766,"HBONDS",1
767,"HBONDS",1
768,"HBONDS",0
769,"HBONDS",1
770,"HBONDS",0
771,"HBONDS",2
772,"HBONDS",1
773,"HBONDS",0
774,"HBONDS",0
775,"HBONDS",0
776,"HBONDS",0
777,"HBONDS",0
778,"HBONDS",0
779,"HBONDS",1
780,"HBONDS",0
781,"HBONDS",0
782,"HBONDS",0
783,"HBONDS",1
784,"HBONDS",1
785,"HBONDS",0
786,"HBONDS",0
787,"HBONDS",1
788,"HBONDS",1
789,"HBONDS",0
790,"HBONDS",0
791,"HBONDS",0
792,"HBONDS",0
793,"HBONDS",1
794,"HBONDS",0
795,"HBONDS",1
796,"HBONDS",0
797,"HBONDS",0
798,"HBONDS",0
799,"HBONDS",0
800,"HBONDS",0
801,"HBONDS",0
802,"HBONDS",0
803,"HBONDS",0
804,"HBONDS",0
805,"HBONDS",0
806,"HBONDS",0
807,"HBONDS",0
808,"HBONDS",0
809,"HBONDS",0
810,"HBONDS",0
811,"HBONDS",0
812,"HBONDS",0
813,"HBONDS",0
814,"HBONDS",0
815,"HBONDS",0
816,"HBONDS",0
817,"HBONDS",0
818,"HBONDS",0
819,"HBONDS",0
820,"HBONDS",0
821,"HBONDS",0
822,"HBONDS",0
823,"HBONDS",0
824,"HBONDS",0
825,"HBONDS",1
826,"HBONDS",0
827,"HBONDS",0
828,"HBONDS",0
829,"HBONDS",0
830,"HBONDS",0
831,"HBONDS",0
832,"HBONDS",0
833,"HBONDS",0
834,"HBONDS",0
835,"HBONDS",0
836,"HBONDS",0
837,"HBONDS",0
838,"HBONDS",0
839,"HBONDS",0
840,"HBONDS",0
