Frame         Time          Elec          VdW           Nonbond       Total         
200           200           -4174.36      -559.376      -4733.73      -4733.73      
201           201           -4009.13      -584.753      -4593.89      -4593.89      
202           202           -3948.19      -589.784      -4537.97      -4537.97      
203           203           -3887.67      -541.554      -4429.22      -4429.22      
204           204           -3951.42      -571.021      -4522.44      -4522.44      
205           205           -3974.06      -555.366      -4529.43      -4529.43      
206           206           -4166.24      -588.364      -4754.61      -4754.61      
207           207           -4055.04      -564.278      -4619.32      -4619.32      
208           208           -4116.38      -635.427      -4751.81      -4751.81      
209           209           -4084.65      -586.773      -4671.42      -4671.42      
210           210           -4027.37      -626.505      -4653.87      -4653.87      
211           211           -4051.77      -638.234      -4690.01      -4690.01      
212           212           -4201.07      -562.351      -4763.43      -4763.43      
213           213           -3923.6       -587.736      -4511.34      -4511.34      
214           214           -3737.39      -584.978      -4322.37      -4322.37      
215           215           -3868.92      -606.697      -4475.61      -4475.61      
216           216           -3931.63      -549.199      -4480.83      -4480.83      
217           217           -3761.85      -628.275      -4390.13      -4390.13      
218           218           -3894.87      -606.4        -4501.27      -4501.27      
219           219           -3842.79      -570.836      -4413.63      -4413.63      
220           220           -3705.54      -602.84       -4308.38      -4308.38      
221           221           -3752.73      -591.843      -4344.57      -4344.57      
222           222           -3930.59      -562.169      -4492.76      -4492.76      
223           223           -3845.89      -553.067      -4398.96      -4398.96      
224           224           -3848.85      -539.529      -4388.38      -4388.38      
225           225           -3957.76      -565.997      -4523.75      -4523.75      
226           226           -4029.61      -574.319      -4603.92      -4603.92      
227           227           -3895.83      -563.361      -4459.19      -4459.19      
228           228           -3948.75      -568.009      -4516.76      -4516.76      
229           229           -4213.98      -573.356      -4787.33      -4787.33      
230           230           -4043.42      -590.816      -4634.23      -4634.23      
231           231           -4059.36      -535.883      -4595.24      -4595.24      
232           232           -3918.74      -528.48       -4447.22      -4447.22      
233           233           -4277.07      -574.823      -4851.89      -4851.89      
234           234           -4123.07      -561.577      -4684.64      -4684.64      
235           235           -4054.26      -592.029      -4646.29      -4646.29      
236           236           -3994.2       -598.827      -4593.03      -4593.03      
237           237           -4176.14      -534.665      -4710.81      -4710.81      
238           238           -4102.4       -521.692      -4624.09      -4624.09      
239           239           -3976.41      -560.001      -4536.41      -4536.41      
240           240           -3956.02      -537.788      -4493.8       -4493.8       
241           241           -4051.89      -565.915      -4617.8       -4617.8       
242           242           -3992.42      -544.008      -4536.43      -4536.43      
243           243           -3805.47      -532.56       -4338.03      -4338.03      
244           244           -3916.92      -584.152      -4501.07      -4501.07      
245           245           -3598.28      -565.146      -4163.43      -4163.43      
246           246           -3924.99      -533.654      -4458.65      -4458.65      
247           247           -3926.2       -509.522      -4435.72      -4435.72      
248           248           -3897.64      -580.059      -4477.7       -4477.7       
249           249           -4107.03      -564.818      -4671.85      -4671.85      
250           250           -4053.92      -571.16       -4625.08      -4625.08      
251           251           -3838.2       -550.576      -4388.78      -4388.78      
252           252           -3897.65      -587.542      -4485.19      -4485.19      
253           253           -3741.93      -536.415      -4278.34      -4278.34      
254           254           -3994.35      -563.153      -4557.5       -4557.5       
255           255           -3792.07      -593.202      -4385.27      -4385.27      
256           256           -3859.78      -559.481      -4419.26      -4419.26      
257           257           -3993.32      -586.626      -4579.95      -4579.95      
258           258           -3970.01      -537.85       -4507.86      -4507.86      
259           259           -4095.76      -604.226      -4699.99      -4699.99      
260           260           -4016.13      -579.122      -4595.25      -4595.25      
261           261           -4016.05      -554.491      -4570.54      -4570.54      
262           262           -3974.49      -591.421      -4565.91      -4565.91      
263           263           -4055.18      -546.286      -4601.47      -4601.47      
264           264           -3965.98      -526.739      -4492.72      -4492.72      
265           265           -3998.49      -567.743      -4566.23      -4566.23      
266           266           -3864.34      -558.846      -4423.18      -4423.18      
267           267           -3800.46      -605.318      -4405.77      -4405.77      
268           268           -3994.42      -546.463      -4540.88      -4540.88      
269           269           -3890.67      -605.587      -4496.26      -4496.26      
270           270           -3934.57      -534.097      -4468.67      -4468.67      
271           271           -4007.32      -604.751      -4612.07      -4612.07      
272           272           -4038.98      -580.069      -4619.05      -4619.05      
273           273           -3977.17      -591.692      -4568.86      -4568.86      
274           274           -3949.1       -569.603      -4518.71      -4518.71      
275           275           -4033.9       -584.982      -4618.88      -4618.88      
276           276           -3925.81      -531.299      -4457.11      -4457.11      
277           277           -3751.78      -530.728      -4282.51      -4282.51      
278           278           -3993.23      -559.419      -4552.65      -4552.65      
279           279           -4079         -543.778      -4622.77      -4622.77      
280           280           -3907.13      -585.43       -4492.56      -4492.56      
281           281           -3969.67      -611.81       -4581.48      -4581.48      
282           282           -4080.84      -620.621      -4701.46      -4701.46      
283           283           -4020.32      -579.711      -4600.03      -4600.03      
284           284           -3912.34      -605.782      -4518.12      -4518.12      
285           285           -3946.29      -581.476      -4527.76      -4527.76      
286           286           -4160.24      -540.038      -4700.28      -4700.28      
287           287           -4072.56      -570.564      -4643.12      -4643.12      
