POSE, TYPE, FRAME, RADIOG
Full, Complex, 242, 24.92079835982557
Full, Protein, 243, 25.302142614370624
Full, Complex, 243, 25.270007961372997
Full, Protein, 244, 24.754994144082872
Full, Complex, 244, 24.724251961559712
Full, Protein, 245, 24.63938749178917
Full, Complex, 245, 24.609681781549796
Full, Protein, 246, 25.14244605319037
Full, Complex, 246, 25.111349183553347
Full, Protein, 247, 25.00620464542197
Full, Complex, 247, 24.97744190543781
Full, Protein, 248, 25.20099043499142
Full, Complex, 248, 25.167771709562857
Full, Protein, 249, 25.013926697546083
Full, Complex, 249, 24.98105836120117
Full, Protein, 250, 25.38833168564795
Full, Complex, 250, 25.347298642547138
Full, Protein, 251, 25.863153517712227
Full, Complex, 251, 25.813799682326454
Full, Protein, 252, 25.722967757803204
Full, Complex, 252, 25.67889853157192
Full, Protein, 253, 25.440514089153446
Full, Complex, 253, 25.396523727746484
Full, Protein, 254, 25.754878183747017
Full, Complex, 254, 25.70323839068905
Full, Protein, 255, 26.19816812279533
Full, Complex, 255, 26.148638502054524
Full, Protein, 256, 26.092141621365233
Full, Complex, 256, 26.046792410655986
Full, Protein, 257, 25.88804975655603
Full, Complex, 257, 25.842628907418394
Full, Protein, 258, 25.93807702351052
Full, Complex, 258, 25.89980361488882
Full, Protein, 259, 25.84398677848385
Full, Complex, 259, 25.800919154218338
Full, Protein, 260, 26.161224306422213
Full, Complex, 260, 26.119023383038858
Full, Protein, 261, 26.296063864759535
Full, Complex, 261, 26.245787336432198
Full, Protein, 262, 26.583342088005214
Full, Complex, 262, 26.531908836791853
Full, Protein, 263, 26.59550059498353
Full, Complex, 263, 26.54621202029357
Full, Protein, 264, 26.295919374613426
Full, Complex, 264, 26.251574300121405
Full, Protein, 265, 26.41070919596652
Full, Complex, 265, 26.359155650552342
Full, Protein, 266, 26.095221418064934
Full, Complex, 266, 26.048534318349493
Full, Protein, 267, 26.43521222615691
Full, Complex, 267, 26.388968478322287
Full, Protein, 268, 27.14151965225224
Full, Complex, 268, 27.091136622478707
Full, Protein, 269, 27.685308497282318
Full, Complex, 269, 27.63022873167386
Full, Protein, 270, 27.561735368397
Full, Complex, 270, 27.508197858937177
Full, Protein, 271, 27.340618708786636
Full, Complex, 271, 27.287588707232995
Full, Protein, 272, 27.513937021799983
Full, Complex, 272, 27.457571212273358
Full, Protein, 273, 27.66358929659459
Full, Complex, 273, 27.610847653890076
Full, Protein, 274, 27.716440060634326
Full, Complex, 274, 27.658302350801442
Full, Protein, 275, 28.118288454795735
Full, Complex, 275, 28.058547030629967
Full, Protein, 276, 27.832287869185187
Full, Complex, 276, 27.777381739683083
Full, Protein, 277, 27.905894837806507
Full, Complex, 277, 27.84809516068418
Full, Protein, 278, 27.40810488770519
Full, Complex, 278, 27.34958080656556
Full, Protein, 279, 27.708578211810824
Full, Complex, 279, 27.650151785911028
Full, Protein, 280, 27.54955840896398
Full, Complex, 280, 27.49054951984072
Full, Protein, 281, 27.493196164742866
Full, Complex, 281, 27.436075413692574
Full, Protein, 282, 27.51178598788281
Full, Complex, 282, 27.453824737338127
Full, Protein, 283, 28.289508728939833
Full, Complex, 283, 28.231645895930736
Full, Protein, 284, 27.92287861956385
Full, Complex, 284, 27.87130197783417
Full, Protein, 285, 27.324613635138764
Full, Complex, 285, 27.272549185476713
Full, Protein, 286, 27.33765556875131
Full, Complex, 286, 27.292054828722762
Full, Protein, 287, 27.556057244776643
Full, Complex, 287, 27.509075171271082
Full, Protein, 288, 28.002060216432163
Full, Complex, 288, 27.945075092984506
Full, Protein, 289, 27.970613437548504
Full, Complex, 289, 29.634139185613797
Full, Protein, 290, 27.664316830500482
Full, Complex, 290, 27.6107160574772
Full, Protein, 291, 27.255369673193858
Full, Complex, 291, 27.2103134985664
Full, Protein, 292, 27.085488477543425
Full, Complex, 292, 27.038297536051488
Full, Protein, 293, 26.485944556117193
Full, Complex, 293, 26.441907553680533
Full, Protein, 294, 26.515798414396635
Full, Complex, 294, 26.468437297919888
Full, Protein, 295, 26.312684772988977
Full, Complex, 295, 26.273327546232224
Full, Protein, 296, 26.693228643916918
Full, Complex, 296, 26.646185257948954
Full, Protein, 297, 26.355220117867315
Full, Complex, 297, 26.310443292070914
Full, Protein, 298, 26.686777827416808
Full, Complex, 298, 26.641439441569943
Full, Protein, 299, 26.544211210836345
Full, Complex, 299, 26.49215071016936
Full, Protein, 300, 26.684647703548592
Full, Complex, 300, 26.635621388089046
Full, Protein, 301, 26.23625229049581
Full, Complex, 301, 26.189968099956765
Full, Protein, 302, 26.358084529345348
Full, Complex, 302, 26.310697591776385
Full, Protein, 303, 26.5389277348275
Full, Complex, 303, 26.486360759804516
Full, Protein, 304, 26.575088112897326
Full, Complex, 304, 26.52463464140533
Full, Protein, 305, 27.05122663590694
Full, Complex, 305, 26.995561101608764
Full, Protein, 306, 26.812814091947242
Full, Complex, 306, 26.754600140613057
Full, Protein, 307, 26.757337567451284
Full, Complex, 307, 26.69830457641234
Full, Protein, 308, 26.80944847038606
Full, Complex, 308, 26.75383800254638
Full, Protein, 309, 27.04787436197843
Full, Complex, 309, 26.992587341657586
Full, Protein, 310, 27.214066881877105
Full, Complex, 310, 27.156204435844533
Full, Protein, 311, 26.888988687334408
Full, Complex, 311, 26.83480792664528
Full, Protein, 312, 26.626734177143952
Full, Complex, 312, 26.571048879310972
Full, Protein, 313, 26.530923010061166
Full, Complex, 313, 26.480512821193848
Full, Protein, 314, 26.63026165106808
Full, Complex, 314, 26.575457571840886
Full, Protein, 315, 26.67297794962854
Full, Complex, 315, 26.623937435315526
Full, Protein, 316, 26.951817196606264
Full, Complex, 316, 26.903696351187445
Full, Protein, 317, 26.668337708517715
Full, Complex, 317, 26.614430045310883
Full, Protein, 318, 27.432694197266247
Full, Complex, 318, 29.13332033134476
Full, Protein, 319, 27.38219138162639
Full, Complex, 319, 29.119703311011527
Full, Protein, 320, 27.06478788073107
Full, Complex, 320, 27.012339138124503
Full, Protein, 321, 26.815064004992102
Full, Complex, 321, 26.762619317808248
Full, Protein, 322, 26.595386056515622
Full, Complex, 322, 26.543467246665006
