Frame         Time          Elec          VdW           Nonbond       Total         
232           232           -3922         -599.781      -4521.78      -4521.78      
233           233           -3776.69      -652.782      -4429.48      -4429.48      
234           234           -3932.52      -598.51       -4531.03      -4531.03      
235           235           -3846.21      -583.063      -4429.28      -4429.28      
236           236           -4040.12      -596.487      -4636.61      -4636.61      
237           237           -3958.82      -614.114      -4572.94      -4572.94      
238           238           -3875.66      -644.643      -4520.3       -4520.3       
239           239           -3836.09      -668.682      -4504.77      -4504.77      
240           240           -3975.46      -639.233      -4614.69      -4614.69      
241           241           -3939.89      -627.304      -4567.2       -4567.2       
242           242           -3918.18      -600.377      -4518.55      -4518.55      
243           243           -3789.63      -625.457      -4415.09      -4415.09      
244           244           -3956.06      -607.709      -4563.77      -4563.77      
245           245           -4019.41      -610.534      -4629.94      -4629.94      
246           246           -3904.91      -623.026      -4527.94      -4527.94      
247           247           -3962.16      -634.009      -4596.17      -4596.17      
248           248           -3890.81      -619.069      -4509.88      -4509.88      
249           249           -4013.88      -641.373      -4655.26      -4655.26      
250           250           -3910.41      -648.887      -4559.29      -4559.29      
251           251           -3968.53      -572.981      -4541.51      -4541.51      
252           252           -3922.01      -581.952      -4503.97      -4503.97      
253           253           -3907.65      -572.923      -4480.58      -4480.58      
254           254           -4014.86      -610.436      -4625.3       -4625.3       
255           255           -3981.84      -596.779      -4578.61      -4578.61      
256           256           -3955.65      -608.159      -4563.81      -4563.81      
257           257           -3994.95      -632.085      -4627.03      -4627.03      
258           258           -3888.36      -626.37       -4514.73      -4514.73      
259           259           -3871.93      -648.568      -4520.5       -4520.5       
260           260           -3997.91      -612.98       -4610.89      -4610.89      
261           261           -3852.66      -597.74       -4450.4       -4450.4       
262           262           -4069.78      -598.111      -4667.89      -4667.89      
263           263           -3953.66      -605.543      -4559.2       -4559.2       
264           264           -3997.09      -572.218      -4569.31      -4569.31      
265           265           -4004.36      -613.87       -4618.23      -4618.23      
266           266           -4081.61      -617.064      -4698.68      -4698.68      
267           267           -4048         -628.829      -4676.83      -4676.83      
268           268           -4021.38      -620.107      -4641.49      -4641.49      
269           269           -4042.23      -607.95       -4650.18      -4650.18      
270           270           -3931.31      -663.818      -4595.13      -4595.13      
271           271           -3848.46      -643.029      -4491.49      -4491.49      
272           272           -3933.02      -635.988      -4569.01      -4569.01      
273           273           -3918.74      -613.304      -4532.05      -4532.05      
274           274           -3970.55      -655.413      -4625.96      -4625.96      
275           275           -3681.53      -612.698      -4294.23      -4294.23      
276           276           -3895.61      -622.635      -4518.25      -4518.25      
277           277           -3793.53      -643.452      -4436.98      -4436.98      
