POSE, FRAME, TYPE, RMSD
Alone,462,Protein,10.209283828735352
Alone,463,Protein,10.502642631530762
Alone,464,Protein,10.591282844543457
Alone,465,Protein,10.299487113952637
Alone,466,Protein,10.23221492767334
Alone,467,Protein,10.29984188079834
Alone,468,Protein,10.3457612991333
Alone,469,Protein,10.378028869628906
Alone,470,Protein,10.145421981811523
Alone,471,Protein,9.862504959106445
Alone,472,Protein,9.946494102478027
Alone,473,Protein,10.31607723236084
Alone,474,Protein,10.732369422912598
Alone,475,Protein,10.475929260253906
Alone,476,Protein,10.167301177978516
Alone,477,Protein,9.8705472946167
Alone,478,Protein,10.160643577575684
Alone,479,Protein,10.714776039123535
Alone,480,Protein,10.345625877380371
Alone,481,Protein,10.13388729095459
Alone,482,Protein,10.01170539855957
Alone,483,Protein,10.235187530517578
Alone,484,Protein,10.561562538146973
Alone,485,Protein,10.771120071411133
Alone,486,Protein,11.404664993286133
Alone,487,Protein,11.528011322021484
Alone,488,Protein,11.211125373840332
Alone,489,Protein,11.274566650390625
Alone,490,Protein,10.406311988830566
Alone,491,Protein,9.646899223327637
Alone,492,Protein,9.692176818847656
Alone,493,Protein,10.456299781799316
Alone,494,Protein,10.436928749084473
Alone,495,Protein,10.394189834594727
Alone,496,Protein,10.668136596679688
Alone,497,Protein,10.687052726745605
Alone,498,Protein,10.725298881530762
Alone,499,Protein,11.642840385437012
Alone,500,Protein,11.294913291931152
Alone,501,Protein,11.830920219421387
Alone,502,Protein,12.083413124084473
Alone,503,Protein,11.869394302368164
Alone,504,Protein,12.56431770324707
Alone,505,Protein,12.516783714294434
Alone,506,Protein,12.920775413513184
Alone,507,Protein,13.783970832824707
Alone,508,Protein,13.935585975646973
Alone,509,Protein,13.492456436157227
Alone,510,Protein,12.966935157775879
Alone,511,Protein,12.847965240478516
Alone,512,Protein,12.330032348632813
Alone,513,Protein,12.922577857971191
Alone,514,Protein,12.625856399536133
Alone,515,Protein,12.225868225097656
Alone,516,Protein,12.561111450195313
Alone,517,Protein,11.673792839050293
Alone,518,Protein,11.830037117004395
Alone,519,Protein,11.796385765075684
Alone,520,Protein,12.31907844543457
Alone,521,Protein,12.591279983520508
Alone,522,Protein,12.080473899841309
Alone,523,Protein,12.422892570495605
Alone,524,Protein,12.79770565032959
Alone,525,Protein,12.35179328918457
Alone,526,Protein,12.44860553741455
Alone,527,Protein,11.814139366149902
Alone,528,Protein,11.876782417297363
Alone,529,Protein,11.914713859558105
Alone,530,Protein,11.5947904586792
Alone,531,Protein,11.887480735778809
Alone,532,Protein,12.013540267944336
Alone,533,Protein,12.474418640136719
Alone,534,Protein,12.490748405456543
Alone,535,Protein,12.994244575500488
Alone,536,Protein,13.467732429504395
Alone,537,Protein,13.979485511779785
Alone,538,Protein,13.881248474121094
Alone,539,Protein,13.902902603149414
Alone,540,Protein,13.53868293762207
Alone,541,Protein,13.072527885437012
Alone,542,Protein,13.128129005432129
Alone,543,Protein,13.712613105773926
Alone,544,Protein,13.577037811279297
Alone,545,Protein,13.610631942749023
Alone,546,Protein,13.522540092468262
Alone,547,Protein,13.27304458618164
Alone,548,Protein,13.31430435180664
Alone,549,Protein,13.193025588989258
Alone,550,Protein,13.077505111694336
Alone,551,Protein,12.71605110168457
Alone,552,Protein,12.579537391662598
Alone,553,Protein,12.721470832824707
Alone,554,Protein,12.881514549255371
Alone,555,Protein,12.907793045043945
Alone,556,Protein,13.387853622436523
Alone,557,Protein,13.839513778686523
Alone,558,Protein,13.972311019897461
Alone,559,Protein,14.3910551071167
Alone,560,Protein,14.121301651000977
Alone,561,Protein,14.901839256286621
Alone,562,Protein,14.544739723205566
Alone,563,Protein,14.340963363647461
Alone,564,Protein,14.178093910217285
Alone,565,Protein,14.754117965698242
Alone,566,Protein,14.479799270629883
Alone,567,Protein,14.256509780883789
Alone,568,Protein,14.262983322143555
Alone,569,Protein,13.81147575378418
Alone,570,Protein,14.316666603088379
Alone,571,Protein,13.915281295776367
Alone,572,Protein,14.040180206298828
Alone,573,Protein,13.91670036315918
Alone,574,Protein,14.56701946258545
Alone,575,Protein,14.816452980041504
Alone,576,Protein,14.555167198181152
Alone,577,Protein,14.401838302612305
Alone,578,Protein,14.33309268951416
Alone,579,Protein,14.308538436889648
Alone,580,Protein,14.35920238494873
Alone,581,Protein,14.368227005004883
Alone,582,Protein,14.079532623291016
Alone,583,Protein,13.631295204162598
Alone,584,Protein,13.338346481323242
Alone,585,Protein,13.662796020507813
Alone,586,Protein,14.013182640075684
Alone,587,Protein,13.755495071411133
Alone,588,Protein,14.059530258178711
Alone,589,Protein,13.644530296325684
Alone,590,Protein,13.291094779968262
Alone,591,Protein,13.627917289733887
Alone,592,Protein,13.20041275024414
Alone,593,Protein,12.827960014343262
Alone,594,Protein,12.602587699890137
Alone,595,Protein,12.164972305297852
Alone,596,Protein,12.555630683898926
Alone,597,Protein,11.903031349182129
Alone,598,Protein,11.827871322631836
Alone,599,Protein,11.672235488891602
Alone,600,Protein,11.881052017211914
Alone,601,Protein,11.804073333740234
Alone,602,Protein,12.302550315856934
Alone,603,Protein,11.635401725769043
Alone,604,Protein,11.776163101196289
Alone,605,Protein,12.18513298034668
Alone,606,Protein,11.432759284973145
Alone,607,Protein,11.697687149047852
Alone,608,Protein,11.602628707885742
Alone,609,Protein,11.722371101379395
Alone,610,Protein,11.679587364196777
Alone,611,Protein,11.43243408203125
Alone,612,Protein,11.373608589172363
Alone,613,Protein,12.334047317504883
Alone,614,Protein,12.696328163146973
Alone,615,Protein,12.867557525634766
Alone,616,Protein,12.54343032836914
Alone,617,Protein,12.161982536315918
Alone,618,Protein,12.093002319335938
Alone,619,Protein,11.991591453552246
Alone,620,Protein,12.142269134521484
Alone,621,Protein,11.391796112060547
Alone,622,Protein,10.851204872131348
Alone,623,Protein,10.639046669006348
Alone,624,Protein,10.623309135437012
Alone,625,Protein,11.119590759277344
Alone,626,Protein,11.66992473602295
Alone,627,Protein,11.778797149658203
Alone,628,Protein,11.796442031860352
Alone,629,Protein,11.915724754333496
Alone,630,Protein,11.840298652648926
Alone,631,Protein,11.78629207611084
Alone,632,Protein,11.434751510620117
Alone,633,Protein,12.032011985778809
Alone,634,Protein,11.959117889404297
Alone,635,Protein,12.074323654174805
Alone,636,Protein,11.96010971069336
Alone,637,Protein,11.423436164855957
Alone,638,Protein,11.646622657775879
Alone,639,Protein,11.469830513000488
Alone,640,Protein,11.760772705078125
Alone,641,Protein,12.253986358642578
Alone,642,Protein,12.85120964050293
Alone,643,Protein,13.100719451904297
Alone,644,Protein,13.219942092895508
Alone,645,Protein,13.333184242248535
Alone,646,Protein,13.136113166809082
Alone,647,Protein,12.898367881774902
Alone,648,Protein,12.551021575927734
Alone,649,Protein,12.725554466247559
Alone,650,Protein,12.769877433776855
Alone,651,Protein,12.366079330444336
Alone,652,Protein,12.225296020507813
Alone,653,Protein,12.218734741210938
Alone,654,Protein,12.388853073120117
Alone,655,Protein,12.351096153259277
Alone,656,Protein,12.677827835083008
Alone,657,Protein,12.448938369750977
Alone,658,Protein,13.085787773132324
Alone,659,Protein,13.399701118469238
Alone,660,Protein,13.464603424072266
Alone,661,Protein,12.598043441772461
Alone,662,Protein,12.737626075744629
Alone,663,Protein,12.658702850341797
Alone,664,Protein,12.619584083557129
Alone,665,Protein,12.175541877746582
