Conformation, LigandName, Frame, AD_BindingEnergy,VN_BindingEnergy, Average_Energy
namd-av01,av01,frame00330,0.2,0.0,0.1
namd-av01,av01,frame01422,0.15,0.0,0.075
namd-av01,av01,frame01878,0.21,0.0,0.105
namd-av01,av01,frame01455,0.22,0.0,0.11
namd-av01,av01,frame01975,0.23,0.0,0.115
namd-av01,av01,frame01558,0.21,0.0,0.105
namd-av01,av01,frame01896,0.21,0.0,0.105
namd-av01,av01,frame01902,0.16,0.0,0.08
namd-av01,av01,frame01366,0.2,0.0,0.1
namd-av01,av01,frame01311,0.21,0.0,0.105
namd-av01,av01,frame01285,0.17,0.0,0.085
namd-av01,av01,frame01388,0.2,0.0,0.1
namd-av01,av01,frame00859,0.87,0.0,0.435
namd-av01,av01,frame00597,0.21,0.0,0.105
namd-av01,av01,frame00403,0.21,0.0,0.105
namd-av01,av01,frame00474,0.18,0.0,0.09
namd-av01,av01,frame00954,0.15,0.0,0.075
namd-av01,av01,frame00923,0.86,0.0,0.43
namd-av01,av01,frame00579,0.21,0.0,0.105
namd-av01,av01,frame01756,0.18,0.0,0.09
namd-av01,av01,frame01721,0.17,0.0,0.085
namd-av01,av01,frame00033,-2.36,-3.09717,-2.729
namd-av01,av01,frame00044,-1.14,-2.60077,-1.87
namd-av01,av01,frame00149,0.87,0.0,0.435
namd-av01,av01,frame01626,0.22,0.0,0.11
namd-av01,av01,frame01651,0.26,0.0,0.13
namd-av01,av01,frame00039,-2.92,-3.07445,-2.997
namd-av01,av01,frame00143,0.19,0.0,0.095
namd-av01,av01,frame00134,0.14,0.0,0.07
namd-av01,av01,frame01382,0.17,0.0,0.085
namd-av01,av01,frame01216,0.22,0.0,0.11
namd-av01,av01,frame01261,0.19,0.0,0.095
namd-av01,av01,frame00824,0.85,0.0,0.425
namd-av01,av01,frame00853,0.15,0.0,0.075
namd-av01,av01,frame00409,0.23,0.0,0.115
namd-av01,av01,frame00929,0.89,0.0,0.445
namd-av01,av01,frame00573,0.24,-0.17828,0.031
namd-av01,av01,frame00504,0.33,0.0,0.165
namd-av01,av01,frame00490,0.16,0.0,0.08
namd-av01,av01,frame01127,0.18,0.0,0.09
namd-av01,av01,frame01150,0.2,0.0,0.1
namd-av01,av01,frame00738,0.21,0.0,0.105
namd-av01,av01,frame00642,0.19,0.0,0.095
namd-av01,av01,frame00635,0.22,0.0,0.11
namd-av01,av01,frame01840,0.21,0.0,0.105
namd-av01,av01,frame01837,0.2,0.0,0.1
namd-av01,av01,frame01517,0.22,0.0,0.11
namd-av01,av01,frame01483,0.2,0.0,0.1
namd-av01,av01,frame01560,0.18,0.0,0.09
namd-av01,av01,frame00308,0.21,0.0,0.105
namd-av01,av01,frame00272,0.16,0.0,0.08
namd-av01,av01,frame00391,0.19,0.0,0.095
namd-av01,av01,frame00205,0.21,0.0,0.105
namd-av01,av01,frame01467,0.23,0.0,0.115
namd-av01,av01,frame01584,0.2,0.0,0.1
namd-av01,av01,frame01410,0.21,0.0,0.105
namd-av01,av01,frame01930,0.2,0.0,0.1
namd-av01,av01,frame01489,0.17,0.0,0.085
